sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9277384290883908
6.9,3.1,5.1,2.3,virginica,0.9750382022101003
5.1,2.5,3.0,1.1,versicolor,0.9473180501732188
4.4,2.9,,0.2,setosa,0.6140583789449967
5.9,3.0,5.1,1.8,virginica,0.740506612293403
5.5,3.5,1.3,0.2,setosa,0.9461716844922112
5.6,,3.6,1.3,versicolor,0.9488656349007509
6.5,3.0,5.2,2.0,virginica,0.9591260028985984
5.3,3.7,1.5,0.2,setosa,0.9498727428614745
5.1,3.4,1.5,,setosa,0.7564697768478325
6.1,2.8,4.0,1.3,versicolor,0.972614692157925
5.5,2.4,3.7,1.0,versicolor,0.954280626278942
7.7,3.0,6.1,2.3,virginica,0.9707248781949247
6.9,3.1,4.9,1.5,versicolor,0.6868008403253667
6.0,2.2,5.0,1.5,virginica,0.8148596734097834
